COUNTRY,INSTITUTION,INSTITUTION TYPE,INSTITUTION WEBSITE,INSTITUTION WIKIDATA,OPEN ACCESS SCOPE,LICENCE/RIGHTS STATEMENT FOR DIGITAL SURROGATES OF PUBLIC DOMAIN OBJECTS ,CLOSEST EQUIVALENT LICENCE (IF USING NON-STANDARD),RIGHTS POLICY OR TERMS OF USE,"LICENCE/RIGHTS STATEMENT FOR METADATA 
(IF STATED)",GITHUB,API,DATA SOURCE(S),,,,,,,,,,,
Austria,"Institut für Botanik, Universität Wien",University,http://herbarium.univie.ac.at,https://www.wikidata.org/wiki/Q165980,Some eligible data,CC BY-SA,,http://herbarium.univie.ac.at/,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=Natural+History+Museum%2C+Vienna+-+Herbarium+W&per_page=72&q=&view=grid,,,,,,,,,,,
Austria,Oberösterreichische Landesbibliothek,Library,https://www.landesbibliothek.at,https://www.wikidata.org/wiki/Q1439945,Some eligible data,CC BY-SA,,http://digi.landesbibliothek.at/viewer/,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=Ober%C3%B6sterreichische+Landesbibliothek&per_page=72&q=Ober%C3%B6sterreichische+Landesbibliothek&view=grid&f%5BREUSABILITY%5D%5B%5D=open,,,,,,,,,,,
Austria,Österreichische Nationalbibliothek,Library,https://www.onb.ac.at,https://www.wikidata.org/wiki/Q304037,Some eligible data,Public Domain Mark,,http://www.bildarchivaustria.at/Pages/Informationen/AGBs.aspx,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=%C3%96sterreichische+Nationalbibliothek+-+Austrian+National+Library&f%5BREUSABILITY%5D%5B%5D=open&per_page=72&q=%C3%96sterreichische+Nationalbibliothek&view=grid&f%5BREUSABILITY%5D%5B%5D=restricted,,,,,,,,,,,
Austria,Universität für Musik und darstellende Kunst Graz,University,https://www.kug.ac.at,https://www.wikidata.org/wiki/Q875147,Some eligible data,Public Domain Mark,,https://www.kug.ac.at/en/library/portal/open-access.html,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?q=DATA_PROVIDER%3A%22Bibliothek+der+Universit%C3%A4t+f%C3%BCr+Musik+und+darstellende+Kunst+Graz%22&f%5BREUSABILITY%5D%5B%5D=open&view=grid,,,,,,,,,,,
Austria,Vorarlberger Landesbibliothek,Library,http://www.vorarlberg.gv.at,https://www.wikidata.org/wiki/Q1339543,Some eligible data,CC BY,,https://pid.volare.vorarlberg.at/Sammlung/Ansichtskarten.aspx,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BREUSABILITY%5D%5B%5D=restricted&per_page=72&q=Vorarlberg+State+Library+&view=grid&f%5BREUSABILITY%5D%5B%5D=open,,,,,,,,,,,
Austria,Wienbibliothek im Rathaus,Library,https://www.wienbibliothek.at,https://www.wikidata.org/wiki/Q2568831,Some eligible data,CC BY-SA,,https://www.digital.wienbibliothek.at/,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=Wienbibliothek+im+Rathaus&per_page=72&q=&view=grid&f%5BREUSABILITY%5D%5B%5D=open,,,,,,,,,,,
Belgium,Groeningemuseum,Museum,https://www.visitbruges.be/nl/groeningemuseum,https://www.wikidata.org/wiki/Q1948674,Some eligible data,CC0,,,,,,https://commons.wikimedia.org/wiki/Category:Images_from_the_Groeningemuseum,,,,,,,,,,,
Belgium,Horta Museum,Museum,http://www.hortamuseum.be,https://www.wikidata.org/wiki/Q1995367,Some eligible data,CC0,,,,,,https://commons.wikimedia.org/wiki/Category:Images_from_the_Victor_Horta_Museum,,,,,,,,,,,https://commons.wikimedia.org/wiki/Category:Images_from_the_Royal_Museum_of_Fine_Arts_Antwerp
Belgium,Industriemuseum,Museum,https://www.industriemuseum.be,https://www.wikidata.org/wiki/Q2245203,Some eligible data,Public Domain Mark,,https://www.industriemuseum.be/nl/disclaimer,,,,https://www.industriemuseum.be/nl/collecties-landing,,,,,,,,,,,
Belgium,Jakob Smitsmuseum,Museum,https://www.jakobsmits.be,https://www.wikidata.org/wiki/Q2595341,Some eligible data,CC0,,,,,,https://commons.wikimedia.org/wiki/Category:Images_from_Jakob_Smitsmuseum,,,,,,,,,,,
